timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619158172124,2171,Quora ,200,OK,Thread Group 1-16,text,true,,160000,377,20,20,https://softwaremon.quora.com/,12,0,7
1619158172124,12,Quora -0,301,Moved Permanently,Thread Group 1-16,,true,,328,127,20,20,http://www.softwaremon.quora.com/,12,0,7
1619158172137,1040,Quora -1,301,Moved Permanently,Thread Group 1-16,,true,,633,127,20,20,https://www.softwaremon.quora.com/,1040,0,767
1619158173179,1116,Quora -2,200,OK,Thread Group 1-16,text,true,,159039,123,20,20,https://softwaremon.quora.com/,700,0,59
1619158172273,2155,Quora ,200,OK,Thread Group 1-19,text,true,,159998,377,20,20,https://softwaremon.quora.com/,19,0,8
1619158172273,19,Quora -0,301,Moved Permanently,Thread Group 1-19,,true,,328,127,20,20,http://www.softwaremon.quora.com/,19,0,8
1619158172293,883,Quora -1,301,Moved Permanently,Thread Group 1-19,,true,,631,127,20,20,https://www.softwaremon.quora.com/,883,0,575
1619158173178,1250,Quora -2,200,OK,Thread Group 1-19,text,true,,159039,123,20,20,https://softwaremon.quora.com/,893,0,80
1619158171923,2571,Quora ,200,OK,Thread Group 1-12,text,true,,160032,377,20,20,https://softwaremon.quora.com/,10,0,4
1619158171923,10,Quora -0,301,Moved Permanently,Thread Group 1-12,,true,,328,127,20,20,http://www.softwaremon.quora.com/,10,0,4
1619158171935,1239,Quora -1,301,Moved Permanently,Thread Group 1-12,,true,,633,127,20,20,https://www.softwaremon.quora.com/,1239,0,936
1619158173178,1316,Quora -2,200,OK,Thread Group 1-12,text,true,,159071,123,20,20,https://softwaremon.quora.com/,884,0,61
1619158171629,2907,Quora ,200,OK,Thread Group 1-6,text,true,,159998,377,20,20,https://softwaremon.quora.com/,101,0,82
1619158171629,105,Quora -0,301,Moved Permanently,Thread Group 1-6,,true,,328,127,20,20,http://www.softwaremon.quora.com/,101,0,82
1619158171741,1426,Quora -1,301,Moved Permanently,Thread Group 1-6,,true,,631,127,20,20,https://www.softwaremon.quora.com/,1426,0,1118
1619158173175,1361,Quora -2,200,OK,Thread Group 1-6,text,true,,159039,123,20,20,https://softwaremon.quora.com/,881,0,89
1619158172324,2261,Quora ,200,OK,Thread Group 1-20,text,true,,160000,377,20,20,https://softwaremon.quora.com/,10,0,5
1619158172324,10,Quora -0,301,Moved Permanently,Thread Group 1-20,,true,,328,127,20,20,http://www.softwaremon.quora.com/,10,0,5
1619158172336,832,Quora -1,301,Moved Permanently,Thread Group 1-20,,true,,632,127,20,20,https://www.softwaremon.quora.com/,832,0,539
1619158173171,1414,Quora -2,200,OK,Thread Group 1-20,text,true,,159040,123,20,20,https://softwaremon.quora.com/,885,0,90
1619158172223,2365,Quora ,200,OK,Thread Group 1-18,text,true,,160000,377,20,20,https://softwaremon.quora.com/,12,0,7
1619158171628,2960,Quora ,200,OK,Thread Group 1-3,text,true,,160025,377,20,20,https://softwaremon.quora.com/,101,0,84
1619158172223,12,Quora -0,301,Moved Permanently,Thread Group 1-18,,true,,328,127,20,20,http://www.softwaremon.quora.com/,12,0,7
1619158171628,105,Quora -0,301,Moved Permanently,Thread Group 1-3,,true,,328,127,20,20,http://www.softwaremon.quora.com/,101,0,84
1619158172237,941,Quora -1,301,Moved Permanently,Thread Group 1-18,,true,,647,127,20,20,https://www.softwaremon.quora.com/,941,0,619
1619158171741,1426,Quora -1,301,Moved Permanently,Thread Group 1-3,,true,,632,127,20,20,https://www.softwaremon.quora.com/,1426,0,1140
1619158173179,1409,Quora -2,200,OK,Thread Group 1-18,text,true,,159025,123,20,20,https://softwaremon.quora.com/,890,0,79
1619158173172,1416,Quora -2,200,OK,Thread Group 1-3,text,true,,159065,123,20,20,https://softwaremon.quora.com/,882,0,86
